video_id,topic_category,hook_type,pacing_speed,word_count,has_catchphrase,closing_cta,jev_latency_ms,viral_summary
"KA_001","RESEPI_RAMADAN","SIGNATURE_GREETING","RAPID_FIRE","4","True","Jangan lupa save video ni untuk menu berbuka korang nanti, selamat mencuba!","3504.023","Menggabungkan ritual bermusim Ramadan dengan rangsangan sensori (craving). Penerangan langkah yang ringkas mendorong kadar simpanan (Saves) dan perkongsian keluarga yang tinggi."
"KA_002","RESEPI_RAMADAN","EMPATHY_RELATABLE","RAPID_FIRE","4","True","Korang wajib cuba buat untuk famili hujung minggu ni!","1837.152","Menggabungkan ritual bermusim Ramadan dengan rangsangan sensori (craving). Penerangan langkah yang ringkas mendorong kadar simpanan (Saves) dan perkongsian keluarga yang tinggi."
"KA_003","RESEPI_RAMADAN","SIGNATURE_GREETING","RAPID_FIRE","4","True","Selamat mencuba semua!","1783.114","Menggabungkan ritual bermusim Ramadan dengan rangsangan sensori (craving). Penerangan langkah yang ringkas mendorong kadar simpanan (Saves) dan perkongsian keluarga yang tinggi."
"KA_004","RESEPI_RAMADAN","EMPATHY_RELATABLE","MODERATE_RHYTHMIC","4","True","Jangan lupa simpan resepi ni untuk hidangan tetamu nanti ya.","7015.351","Menggabungkan ritual bermusim Ramadan dengan rangsangan sensori (craving). Penerangan langkah yang ringkas mendorong kadar simpanan (Saves) dan perkongsian keluarga yang tinggi."
"KA_005","RESEPI_VIRAL_HARIAN","EMPATHY_RELATABLE","RAPID_FIRE","4","True","Menu comfort food paling padu!","802.304","Membina antisipasi kukuh berasaskan kepercayaan jenama yang tinggi, mencetuskan penukaran jualan segera di TikTok Shop."
"KA_006","RESEPI_VIRAL_HARIAN","EMPATHY_RELATABLE","RAPID_FIRE","4","True","Cuba buat malam ni confirm repeat!","828.348","Membina antisipasi kukuh berasaskan kepercayaan jenama yang tinggi, mencetuskan penukaran jualan segera di TikTok Shop."
"KA_007","RESEPI_VIRAL_HARIAN","EMPATHY_RELATABLE","RAPID_FIRE","4","True","Resepi penyelamat lapar lewat malam yang wajib korang cuba!","1918.77","Membina antisipasi kukuh berasaskan kepercayaan jenama yang tinggi, mencetuskan penukaran jualan segera di TikTok Shop."
"KA_008","RESEPI_VIRAL_HARIAN","EMPATHY_RELATABLE","MODERATE_RHYTHMIC","4","True","Manis wangi karamel dia memang sempurna!","5030.442","Membina antisipasi kukuh berasaskan kepercayaan jenama yang tinggi, mencetuskan penukaran jualan segera di TikTok Shop."
"KA_009","BEHIND_THE_SCENES_BISNES","STORY_CURIOSITY","MODERATE_RHYTHMIC","18","","Saya nak ucapkan jutaan terima kasih kepada anda semua yang sentiasa menyokong perjalanan ini dari kosong. Pautan belian ada di bio profil saya, selamat membeli dan terima kasih rakyat Malaysia!","13055.296","Audiens Malaysia mempunyai sentimen sokongan yang sangat tinggi terhadap usahawan yang memuliakan kebajikan pekerja tempatan, menghasilkan Share Velocity maksimum."
"KA_010","BEHIND_THE_SCENES_BISNES","STORY_CURIOSITY","MODERATE_RHYTHMIC","22","","Tekan pautan di bio untuk lock order korang sekarang dan terima kasih atas sokongan luar biasa korang selama ini!","773.087","Audiens Malaysia mempunyai sentimen sokongan yang sangat tinggi terhadap usahawan yang memuliakan kebajikan pekerja tempatan, menghasilkan Share Velocity maksimum."
"KA_011","BEHIND_THE_SCENES_BISNES","STORY_CURIOSITY","MODERATE_RHYTHMIC","31","","Terima kasih kepada seluruh rakyat Malaysia yang membeli botol sambal kami setiap hari, kilang ini berdiri hasil kepercayaan korang semua!","2415.974","Audiens Malaysia mempunyai sentimen sokongan yang sangat tinggi terhadap usahawan yang memuliakan kebajikan pekerja tempatan, menghasilkan Share Velocity maksimum."
